Neighborhood,Id,Estimate; Aggregate household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Aggregate household income in the past 12 months (in 2014 Inflation-adjusted dollars)
Allegheny Center,1,28265700,8176700
Allegheny West,2,23755400,15159354
Allentown,3,40566300,8358735.28
Arlington,4,33111400,6248592.971
Arlington Heights,5,2515000,1056475
Banksville,6,141719200,23244861.18
Bedford Dwellings,7,8979700,1514943
Beechview,8,194033100,20154400.4
Beltzhoover,9,31298800,7296641.199
Bloomfield,10,243725500,19774185.15
Bluff,11,12683300,3627615.051
Bon Air,12,22926500,4523555
Brighton Heights,13,195674000,16058800.23
Brookline,14,361244500,34273834.17
California-Kirkbride,15,7593600,2530411
Carrick,16,221566800,27495885.3
Central Business District,17,194480400,45512724.55
Central Lawrenceville,18,129064000,14113582.13
Central Northside,19,90854100,14925836.61
Central Oakland,20,54280200,8270625.674
Chartiers City,21,10967500,3785661
Chateau,22,-,**
Crafton Heights,23,88112400,14017491.22
Crawford-Roberts,24,30591200,7395183.433
Duquesne Heights,25,93843300,16650064.46
East Allegheny,26,50588300,9594705.765
East Carnegie,27,13292200,3914136
East Hills,28,38335200,7727676.784
East Liberty,29,118242500,20727275.13
Elliott,30,40108400,6939967.869
Esplen,31,5757700,2518173
Fairywood,32,30512800,7804069
Fineview,33,25287000,7259331.883
Friendship,34,44549100,8935905.582
Garfield,35,59645300,13165254.09
Glen Hazel,36,4539600,1975969
Greenfield,37,235978800,25966033.36
Hays,38,6297300,2109647
Hazelwood,39,74968600,12693890.57
Highland Park,40,217316400,31322613.79
Homewood North,41,45889800,9087058.367
Homewood South,42,30341000,4316013.597
Homewood West,43,12197900,3084489.333
Knoxville,44,60696500,12138791.52
Larimer,45,16822100,3341587.44
Lincoln Place,46,85480100,13165169.43
Lincoln-Lemington-Belmar,47,85472700,14711826.7
Lower Lawrenceville,48,57051000,8488459.532
Manchester,49,48058600,13898315.92
Marshall-Shadeland,50,71012900,9351015.054
Middle Hill,51,26440400,5882020.807
Morningside,52,92063900,13403867.72
Mount Oliver Borough,53,54013900,12366038.58
Mount Washington,54,263764100,23388926.99
Mt. Oliver,55,10941300,2772591
New Homestead,56,26212200,3572651
North Oakland,57,157087400,29998603.22
North Shore,58,11710800,3702758
Northview Heights,59,8035600,2254497
Oakwood,60,27825200,5196935
Overbrook,61,95877700,13202002.33
Perry North,62,101872000,11707325.66
Perry South,63,53905300,7802599.753
Point Breeze,64,299866100,32033559.8
Point Breeze North,65,61672500,10565215.41
Polish Hill,66,44908900,12733727.25
Regent Square,67,49028200,9970697
Ridgemont,68,7989900,3064958
Shadyside,69,597347500,63123196.01
Sheraden,70,100364200,12728978.26
South Oakland,71,51314400,11563387.87
South Shore,72,-,**
South Side Flats,73,240068000,29292476.83
South Side Slopes,74,102634800,16087199.17
Spring Garden,75,17613500,3711337.736
Spring Hill-City View,76,46041000,9883746.831
Squirrel Hill North,77,561576600,63708211.63
Squirrel Hill South,78,639717500,55105248.88
St. Clair,79,4064600,1242200
Stanton Heights,80,127428800,14978415.87
Strip District,81,74578500,36896832
Summer Hill,82,36580900,8495861
Swisshelm Park,83,37540700,4713943
Terrace Village,84,15630000,2735399.914
Troy Hill,85,75957100,18715375.16
Upper Hill,86,49187000,14091758.86
Upper Lawrenceville,87,60604600,14808774.52
West End,88,4884400,2447655
West Oakland,89,15820400,3620802.954
Westwood,90,90594300,11234701.15
Windgap,91,33450000,6183325.504
