Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; With cash rent:,Margin of Error; With cash rent:,Estimate; With cash rent: - Less than $100,Margin of Error; With cash rent: - Less than $100,Estimate; With cash rent: - $100 to $149,Margin of Error; With cash rent: - $100 to $149,Estimate; With cash rent: - $150 to $199,Margin of Error; With cash rent: - $150 to $199,Estimate; With cash rent: - $200 to $249,Margin of Error; With cash rent: - $200 to $249,Estimate; With cash rent: - $250 to $299,Margin of Error; With cash rent: - $250 to $299,Estimate; With cash rent: - $300 to $349,Margin of Error; With cash rent: - $300 to $349,Estimate; With cash rent: - $350 to $399,Margin of Error; With cash rent: - $350 to $399,Estimate; With cash rent: - $400 to $449,Margin of Error; With cash rent: - $400 to $449,Estimate; With cash rent: - $450 to $499,Margin of Error; With cash rent: - $450 to $499,Estimate; With cash rent: - $500 to $549,Margin of Error; With cash rent: - $500 to $549,Estimate; With cash rent: - $550 to $599,Margin of Error; With cash rent: - $550 to $599,Estimate; With cash rent: - $600 to $649,Margin of Error; With cash rent: - $600 to $649,Estimate; With cash rent: - $650 to $699,Margin of Error; With cash rent: - $650 to $699,Estimate; With cash rent: - $700 to $749,Margin of Error; With cash rent: - $700 to $749,Estimate; With cash rent: - $750 to $799,Margin of Error; With cash rent: - $750 to $799,Estimate; With cash rent: - $800 to $899,Margin of Error; With cash rent: - $800 to $899,Estimate; With cash rent: - $900 to $999,Margin of Error; With cash rent: - $900 to $999,"Estimate; With cash rent: - $1,000 to $1,249","Margin of Error; With cash rent: - $1,000 to $1,249","Estimate; With cash rent: - $1,250 to $1,499","Margin of Error; With cash rent: - $1,250 to $1,499","Estimate; With cash rent: - $1,500 to $1,999","Margin of Error; With cash rent: - $1,500 to $1,999","Estimate; With cash rent: - $2,000 or more","Margin of Error; With cash rent: - $2,000 or more",Estimate; No cash rent,Margin of Error; No cash rent
Allegheny Center,1,695,103,688,103,61,57,6,10,58,48,6,9,6,10,11,14,0,10,52,66,0,10,8,12,40,22,25,19,93,48,27,22,28,35,45,21,95,62,103,50,10,15,14,15,0,10,7,10
Allegheny West,2,73,33,73,33,0,10,0,10,0,10,0,10,0,10,4,7,0,10,0,10,13,13,17,20,5,8,12,13,0,10,0,10,6,9,5,7,6,8,0,10,0,10,5,8,0,10,0,10
Allentown,3,563,154.6641523,512,136.1947136,0,17.32050808,0,17.32050808,18,26.15339366,18,23.68543856,16,23.68543856,53,59.69924623,44,27.92848009,77,47.9165942,27,45.26588119,60,63.30876717,34,40.16217126,33,53.88877434,37,39.37003937,48,42.23742416,11,22.11334439,0,17.32050808,0,17.32050808,36,42.42640687,0,17.32050808,0,17.32050808,0,17.32050808,51,77.30459236
Arlington,4,216,70.46985171,211,70.46985171,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,10,20.61552813,3,15.3622915,0,17.32050808,23,30.01666204,4,15.3622915,6,17.32050808,19,24.59674775,51,38.94868419,12,16.1245155,0,17.32050808,64,50.39841267,0,17.32050808,13,21.3541565,0,17.32050808,6,16.76305461,0,17.32050808,0,17.32050808,5,15.77973384
Arlington Heights,5,170,69,166,70,0,10,19,31,24,25,10,14,72,61,0,10,27,31,0,10,5,7,9,14,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,4,6
Banksville,6,1022,221.1040479,1015,221.1040479,0,20,0,20,0,20,13,27.22131518,42,69.20260111,0,20,0,20,0,20,0,20,0,20,0,20,98,91.85858697,82,58.87274412,136,99.90495483,254,147.6482306,203,126.8897159,142,114.5120081,45,43.41658669,0,20,0,20,0,20,7,22.27105745
Bedford Dwellings,7,633,69,630,68,219,72,48,28,30,20,111,54,4,6,9,14,30,21,24,20,59,52,29,21,40,27,10,12,0,10,0,10,13,19,4,6,0,10,0,10,0,10,0,10,0,10,3,8
Beechview,8,1514,236.3006559,1467,234.7935263,0,31.6227766,0,31.6227766,0,31.6227766,67,59.14389233,54,56.92099788,55,69.02897942,114,71.63797875,143,99.05049217,93,57.71481612,160,86.65448632,219,114.6560073,170,93.95211546,201,87.56140702,41,39.68626967,41,41.83300133,52,59.9082632,44,43.96589587,13,36.61966685,0,31.6227766,0,31.6227766,0,31.6227766,47,41.21892769
Beltzhoover,9,326,113.5561535,298,110.6074139,0,20,10,22.91287847,0,20,29,25.70992026,0,20,34,37.73592453,9,22.27105745,21,37.26929031,53,45.22167622,48,51.18593557,26,42.67317659,29,37.26929031,0,20,0,20,0,20,0,20,0,20,0,20,39,62.44997998,0,20,0,20,28,36.12478374
Bloomfield,10,2990,221.682205,2935,220.9140104,0,31.6227766,7,31.6227766,6,31.6227766,24,40.4103947,37,38.79432948,39,38.8458492,113,56.4092191,126,69.7423831,92,56.74504384,230,92.00543462,267,86.86195945,335,101.9313494,299,79.97499609,248,92.75235846,205,83.68990381,272,89,175,74.41102069,225,83,100,63.90618123,122,61.73329734,13,37.20215048,55,38.88444419
Bluff,11,155,45.83666655,155,45.83666655,0,20,0,20,0,20,0,20,0,20,7,19.5192213,16,24.97999199,23,22.47220505,13,24.97999199,10,21.07130751,0,20,0,20,4,18.33030278,0,20,0,20,11,18.68154169,13,21.9317122,8,24.2693222,36,27.01851217,14,25.70992026,0,20,0,20
Bon Air,12,46,57,46,57,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,36,55,0,10,0,10,0,10,0,10,0,10,3,6,0,10,7,12,0,10,0,10,0,10,0,10,0,10
Brighton Heights,13,1040,182.0604295,1040,182.0604295,0,26.45751311,22,32.38826948,29,34.72751071,40,35.34119409,59,61.12282716,41,34.24908758,0,26.45751311,82,50.32891813,37,35.0142828,186,101.9313494,121,84.84692098,108,62.93647591,59,43.47413024,54,53,92,77.98717843,9,29.25747768,8,27.27636339,63,55.50675635,24,32.26453161,0,26.45751311,6,26.0959767,0,26.45751311
Brookline,14,1641,243.5508161,1589,239.5954924,0,38.72983346,0,38.72983346,36,49.13247399,64,55.33534133,7,39.29376541,34,47.33920151,43,46.88283268,74,71.11258679,108,69.68500556,105,67.26068688,96,62.88879073,147,80.94442538,400,162.9785262,124,74.98666548,74,60.39867548,139,73.72923436,98,86.30758947,26,46.31414471,0,38.72983346,14,43.92038251,0,38.72983346,52,58.28378848
California-Kirkbride,15,206,46,192,49,13,14,3,5,0,10,34,28,0,10,9,10,23,28,0,10,12,18,27,29,3,5,11,18,24,22,20,18,0,10,4,6,0,10,9,14,0,10,0,10,0,10,14,15
Carrick,16,1650,241.6795399,1588,239.6017529,16,38.34057903,0,36.05551275,19,39,71,73.95944835,5,35.55277767,40,44.15880433,153,94.74703162,120,83.24061509,92,61,183,78.40918314,230,101.9117265,245,102.381639,83,54.02777064,190,103.9038017,39,42.24926035,44,60.74537019,44,58.35237784,14,37.36308338,0,36.05551275,0,36.05551275,0,36.05551275,62,50.25932749
Central Business District,17,1429,213.2838484,1407,215.0604566,40,42.3792402,0,24.49489743,28,32.01562119,77,51.14684741,7,25.37715508,13,30,18,37.41657387,0,24.49489743,0,24.49489743,19,28.14249456,19,30.6757233,21,39.03844259,11,28.08914381,0,24.49489743,112,75.5314504,26,34.66987165,59,65.13063795,288,113.661779,166,98.40223575,262,101.9313494,241,123.2112008,22,32.49615362
Central Lawrenceville,18,1175,158.6915247,1132,154.9838701,12,25.86503431,0,24.49489743,23,25.78759392,29,51.14684741,16,23.60084744,27,27.94637723,79,54.71745608,32,28.40774542,44,40.95119046,96,50.85272854,112,77.08436936,116,58.22370651,105,60.56401572,97,56.57738064,39,31,107,46.86149806,42,35.52463934,92,49.25444142,20,26.77685568,37,47.58150901,7,24.91987159,43,45.49725266
Central Northside,19,860,122.3478647,841,124.2577965,16,22.11334439,46,34.0147027,12,16.76305461,24,22.89104628,61,44.86646855,32,35.44009029,40,47.16990566,50,34.98571137,52,36.61966685,69,43.10452412,14,17.3781472,83,43.69210455,36,29.22327839,104,67.90434449,54,36.61966685,39,32.58834147,19,18.57417562,66,43.05810028,17,20.61552813,2,15,5,16.24807681,19,28.72281323
Central Oakland,20,1721,160.4400199,1685,158.6064311,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,19,26.15339366,44,41.23105626,104,64.31174076,50,31.89043744,102,51.26402247,104,55.76737397,159,66.2721661,34,34.19064199,23,22.36067978,110,65.44463309,98,55.68662317,119,56.17828762,282,93.62691921,107,54.79051013,222,98.74208829,108,62.20932406,36,32.58834147
Chartiers City,21,49,27,49,27,0,10,0,10,10,16,0,10,0,10,0,10,0,10,0,10,14,23,0,10,8,14,0,10,9,15,0,10,0,10,0,10,0,10,8,12,0,10,0,10,0,10,0,10
Chateau,22,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Crafton Heights,23,626,107.8053802,615,107.5639345,54,38.07886553,53,51.97114584,45,47.28636167,34,31.57530681,19,28.7923601,10,19.07878403,13,27.22131518,95,56.19608527,37,33.18132005,4,18.68154169,10,18.57417562,48,30.5122926,57,41.24318125,21,29.59729717,38,36.6469644,46,32.93933818,19,29.59729717,5,19.07878403,7,20.51828453,0,20,0,20,11,18.57417562
Crawford-Roberts,24,856,153.8083223,856,153.8083223,42,41.18252056,57,40.26164428,80,49.57822103,10,20.59126028,51,44.27188724,72,60.81118318,24,20.59126028,12,20.59126028,48,46.09772229,63,62.28964601,65,43.0464865,68,63.90618123,53,55.94640292,50,49.64876635,19,24.16609195,15,19.72308292,23,36.40054945,71,48.37354649,10,18.02775638,14,21.47091055,9,17.20465053,0,14.14213562
Duquesne Heights,25,363,93.40770846,338,93.81364506,0,14.14213562,0,14.14213562,11,19.72308292,0,14.14213562,10,18.02775638,10,18.86796226,0,14.14213562,0,14.14213562,9,18.02775638,26,23.32380758,27,41.23105626,0,14.14213562,52,47.92702787,25,42.20189569,41,48.08326112,24,26.90724809,33,30.52867504,18,22.36067978,26,26,26,26,0,14.14213562,25,22.47220505
