Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; With cash rent:,Margin of Error; With cash rent:,Estimate; With cash rent: - Less than $100,Margin of Error; With cash rent: - Less than $100,Estimate; With cash rent: - $100 to $149,Margin of Error; With cash rent: - $100 to $149,Estimate; With cash rent: - $150 to $199,Margin of Error; With cash rent: - $150 to $199,Estimate; With cash rent: - $200 to $249,Margin of Error; With cash rent: - $200 to $249,Estimate; With cash rent: - $250 to $299,Margin of Error; With cash rent: - $250 to $299,Estimate; With cash rent: - $300 to $349,Margin of Error; With cash rent: - $300 to $349,Estimate; With cash rent: - $350 to $399,Margin of Error; With cash rent: - $350 to $399,Estimate; With cash rent: - $400 to $449,Margin of Error; With cash rent: - $400 to $449,Estimate; With cash rent: - $450 to $499,Margin of Error; With cash rent: - $450 to $499,Estimate; With cash rent: - $500 to $549,Margin of Error; With cash rent: - $500 to $549,Estimate; With cash rent: - $550 to $599,Margin of Error; With cash rent: - $550 to $599,Estimate; With cash rent: - $600 to $649,Margin of Error; With cash rent: - $600 to $649,Estimate; With cash rent: - $650 to $699,Margin of Error; With cash rent: - $650 to $699,Estimate; With cash rent: - $700 to $749,Margin of Error; With cash rent: - $700 to $749,Estimate; With cash rent: - $750 to $799,Margin of Error; With cash rent: - $750 to $799,Estimate; With cash rent: - $800 to $899,Margin of Error; With cash rent: - $800 to $899,Estimate; With cash rent: - $900 to $999,Margin of Error; With cash rent: - $900 to $999,"Estimate; With cash rent: - $1,000 to $1,249","Margin of Error; With cash rent: - $1,000 to $1,249","Estimate; With cash rent: - $1,250 to $1,499","Margin of Error; With cash rent: - $1,250 to $1,499","Estimate; With cash rent: - $1,500 to $1,999","Margin of Error; With cash rent: - $1,500 to $1,999","Estimate; With cash rent: - $2,000 to $2,499","Margin of Error; With cash rent: - $2,000 to $2,499","Estimate; With cash rent: - $2,500 to $2,999","Margin of Error; With cash rent: - $2,500 to $2,999","Estimate; With cash rent: - $3,000 to $3,499","Margin of Error; With cash rent: - $3,000 to $3,499","Estimate; With cash rent: - $3,500 or more","Margin of Error; With cash rent: - $3,500 or more",Estimate; No cash rent,Margin of Error; No cash rent
Allegheny Center,1,798,91,781,89,23,27,6,8,77,49,10,10,15,21,2,16,0,10,0,10,6,8,17,20,72,33,41,26,98,53,34,25,35,24,52,26,132,51,129,51,16,24,16,14,0,10,0,10,0,10,0,10,17,12
Allegheny West,2,77,31,77,31,0,10,0,10,0,10,0,10,0,10,3,7,0,10,0,10,10,11,6,9,8,9,8,9,7,9,0,10,5,8,4,6,5,8,10,11,6,10,5,7,0,10,0,10,0,10,0,10,0,10
Allentown,3,531,138.1665661,481,120.5404496,0,17.32050808,0,17.32050808,18,24.49489743,16,22.11334439,16,22.11334439,57,66.52067348,63,35.63705936,47,37.17526059,23,40.54626987,51,54.64430437,32,36.98648402,49,56.64803615,30,32.01562119,41,34.7706773,0,17.32050808,9,19.89974874,0,17.32050808,29,36.82390528,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,50,78.2879301
Arlington,4,209,70.56202945,204,69.89992847,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,4,15.77973384,0,17.32050808,10,21.3541565,4,15.3622915,6,16.76305461,21,25.15949125,52,41.48493703,13,15.77973384,15,27,61,46.31414471,0,17.32050808,13,22.11334439,0,17.32050808,5,16.76305461,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,5,15.77973384
Arlington Heights,5,144,59,140,59,0,10,6,8,23,25,12,14,42,44,0,10,15,23,0,10,5,7,9,14,0,10,0,10,28,49,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,4,6
Banksville,6,961,190.0894526,961,190.0894526,0,20,0,20,0,20,0,20,42,69.20260111,0,20,0,20,0,20,0,20,0,20,0,20,70,70.36334273,96,64.54455825,181,119.9333148,143,94.41398202,251,128.0585803,146,111.9687456,32,41.76122604,0,20,0,20,0,20,0,20,0,20,0,20,0,20
Bedford Dwellings,7,675,56,668,57,216,72,20,19,37,22,94,44,3,5,8,12,22,17,30,25,73,49,29,19,59,29,13,13,24,25,12,11,24,25,4,8,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,7,10
Beechview,8,1502,236.0211855,1464,234.0683661,0,31.6227766,0,31.6227766,0,31.6227766,64,57.83597496,19,35,56,68.15423685,79,54.07402334,164,106.9813068,76,62.05642594,156,80.03749122,170,91.68969408,237,102.6255329,175,91.05492848,59,44.21538194,47,46.01086828,76,68.04410334,76,54.41507144,10,34.4818793,0,31.6227766,0,31.6227766,0,31.6227766,0,31.6227766,0,31.6227766,0,31.6227766,38,39.37003937
Beltzhoover,9,292,111.7720895,287,111.7720895,0,20,10,22.91287847,0,20,24,23.17326045,0,20,9,22.91287847,9,22.91287847,0,20,72,51.4781507,54,57.70615219,36,53.86093204,32,39.01281841,0,20,0,20,0,20,0,20,0,20,0,20,41,67.26812024,0,20,0,20,0,20,0,20,0,20,5,19.5192213
Bloomfield,10,2883,201.7324961,2825,200.8083664,0,31.6227766,6,31.32091953,7,31.95309062,24,39.91240409,28,39,41,38.69108424,85,53.92587505,109,59.55669568,85,55.75840744,153,58.25804665,197,71.23201527,354,96.87104831,292,77.88452991,236,76.47875522,218,84.34453154,354,93.30594836,146,62.60990337,278,87.12634504,69,47.50789408,126,61.57109712,17,33.54101966,0,31.6227766,0,31.6227766,0,31.6227766,58,36.31803959
Bluff,11,161,46.26013402,161,46.26013402,0,20,0,20,0,20,0,20,0,20,4,18.68154169,22,24.97999199,27,26.11512971,0,20,5,19.07878403,0,20,0,20,5,19.07878403,5,20,0,20,31,26.83281573,2,17.57839583,11,20,37,26.72077843,12,23.57965225,0,20,0,20,0,20,0,20,0,20
Bon Air,12,67,64,67,64,14,22,0,10,0,10,0,10,0,10,0,10,0,10,0,10,36,55,0,10,0,10,0,10,0,10,0,10,5,8,0,10,12,20,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Brighton Heights,13,1016,167.3648709,1006,167.3648709,0,26.45751311,10,28.72281323,22,29.89983278,42,34.94281042,39,33.07567082,62,39.94996871,0,26.45751311,87,53.91660227,53,36.24913792,188,99.22701245,94,53.8423625,115,69.63476143,61,46.54030511,55,54.08326913,48,52.44044241,9,29.25747768,18,29.81610303,71,47.33920151,25,32.26453161,0,26.45751311,0,26.45751311,0,26.45751311,7,26.85144316,0,26.45751311,10,28.72281323
Brookline,14,1598,233.272373,1502,227.1497304,0,38.72983346,0,38.72983346,22,45.74931693,49,46.92547283,11,41.09744518,51,46.73328578,57,59.94163828,42,53.23532662,86,60.17474553,117,77.31752712,108,64.73020933,114,64.22616289,347,154.9774177,124,78.89233169,53,56.64803615,194,88.47598544,66,65.13831438,49,53.75872022,0,38.72983346,12,43.40506883,0,38.72983346,0,38.72983346,0,38.72983346,0,38.72983346,96,65.77993615
California-Kirkbride,15,219,45,213,45,10,11,5,7,15,16,17,14,0,10,7,8,31,27,0,10,19,27,38,30,5,7,18,28,18,18,13,13,0,10,3,5,0,10,14,21,0,10,0,10,0,10,0,10,0,10,0,10,6,7
