Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
Allegheny Center,1,1002,139,10,14,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,6,8,7,11,23,27,21,21,116,53,22,24,47,26,176,70,87,52,274,77,80,46,125,66,8,11
Allegheny West,2,293,72,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,9,21,6,8,0,10,0,10,0,10,36,34,16,24,10,23,32,23,16,10,88,34,33,29,27,31,20,26
Allentown,3,1577,227.1871475,19,27,0,17.32050808,0,17.32050808,6,20.61552813,0,17.32050808,0,17.32050808,0,17.32050808,9,20.61552813,0,17.32050808,0,17.32050808,8,19.20937271,8,19.89974874,46,36.98648402,20,26.55183609,39,29.89983278,579,163.9268129,205,102.2594739,139,64.03905059,318,116.8289348,54,34.87119155,70,42.62628297,35,29.52964612,22,29.59729717,0,17.32050808
Arlington,4,1296,218.5154457,31,32.87856445,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,13,18.24828759,0,17.32050808,19,16.82260384,20,18.02775638,42,27.03701167,30,26.43860813,16,16.88194302,412,111.2969002,94,43.13930922,90,44.59820624,259,102.4939023,147,59.40538696,94,43.12771731,25,22.15851981,4,15.77973384,0,17.32050808
Arlington Heights,5,121,63,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,7,12,37,40,10,11,0,10,5,10,9,14,34,50,19,24,0,10,0,10,0,10,0,10,0,10
Banksville,6,3244,480.9854468,5,20.51828453,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,11,23.57965225,5,21.07130751,153,166.3490307,62,66.37017402,0,20,923,241.0103732,88,62.64982043,146,76.03946344,256,116.7176079,333,137.7933235,606,163.8749523,581,209.3489909,75,59.53990259,0,20
Bedford Dwellings,7,740,96,15,10,0,10,0,10,0,10,0,10,9,14,0,10,0,10,12,19,0,10,0,10,0,10,15,16,60,43,8,11,291,82,114,43,55,43,88,46,47,22,26,23,0,10,0,10,0,10
Beechview,8,5905,522.106311,123,99.92497185,0,31.6227766,0,31.6227766,0,31.6227766,38,64.41273166,0,31.6227766,0,31.6227766,12,35.51056181,10,34,51,61.91930232,56,59.45586598,28,33.45145737,60,61.39218191,109,77.47257579,107,54.13871073,1508,292.5491412,335,133.8992158,383,147.7362515,915,204.0416624,633,147.6211367,1105,222.1981098,325,107.0093454,87,57.8186821,20,42.15447782
Beltzhoover,9,1173,230.7249445,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,9,22.91287847,0,20,0,20,11,22.91287847,72,74.25631286,77,69.67065379,22,29.59729717,409,152.8299709,98,57.17516944,90,47.21228654,203,76.17742448,46,55.90169944,64,41.29164564,72,45.563143,0,20,0,20
Bloomfield,10,6612,403.3125339,59,36.33180425,0,31.6227766,0,31.6227766,0,31.6227766,5,30.8058436,13,28.91366459,10,30.28200786,24,37.14835124,6,31.95309062,6,29.41088234,10,28.68797658,36,37.44329045,24,28.68797658,45,33.46640106,64,34.23448554,1384,184.8972688,205,83.62415919,251,82.96384755,623,144.0937195,408,106.7145726,1801,235.274308,1112,173.28012,310,84.17244205,216,74.18220811
