Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $49,999","Margin of Error; Total: - $40,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $69,999","Margin of Error; Total: - $60,000 to $69,999","Estimate; Total: - $70,000 to $79,999","Margin of Error; Total: - $70,000 to $79,999","Estimate; Total: - $80,000 to $89,999","Margin of Error; Total: - $80,000 to $89,999","Estimate; Total: - $90,000 to $99,999","Margin of Error; Total: - $90,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $174,999","Margin of Error; Total: - $150,000 to $174,999","Estimate; Total: - $175,000 to $199,999","Margin of Error; Total: - $175,000 to $199,999","Estimate; Total: - $200,000 to $249,999","Margin of Error; Total: - $200,000 to $249,999","Estimate; Total: - $250,000 to $299,999","Margin of Error; Total: - $250,000 to $299,999","Estimate; Total: - $300,000 to $399,999","Margin of Error; Total: - $300,000 to $399,999","Estimate; Total: - $400,000 to $499,999","Margin of Error; Total: - $400,000 to $499,999","Estimate; Total: - $500,000 to $749,999","Margin of Error; Total: - $500,000 to $749,999","Estimate; Total: - $750,000 to $999,999","Margin of Error; Total: - $750,000 to $999,999","Estimate; Total: - $1,000,000 or more","Margin of Error; Total: - $1,000,000 or more"
Allegheny Center,1,38,19,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,11,9,12,13,0,10,15,16,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Allegheny West,2,77,34,6,9,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,13,19,11,16,3,6,6,10,0,10,0,10,6,9,9,10,17,19,0,10,0,10,0,10,6,9
Allentown,3,575,124.0040322,48,36.40054945,19,21.84032967,32,33.1662479,49,35.86084215,64,54.68089246,52,34.94281042,21,26.70205985,101,66.60330322,58,39.37003937,77,60.6052803,37,38.75564475,0,17.32050808,0,17.32050808,0,17.32050808,12,22.11334439,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,5,16.24807681,0,17.32050808,0,17.32050808
Arlington,4,469,93.86692708,6,17.32050808,16,19.33907961,6,17.32050808,41,30.88689042,54,37.21558813,57,32.46536616,50,33.74907406,61,35.51056181,90,50.81338406,31,24.71841419,36,25.01999201,5,16.76305461,4,16.76305461,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,10,17.1464282,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,2,14.69693846
Arlington Heights,5,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Banksville,6,980,116.7732846,28,36.3868108,0,20,0,20,0,20,0,20,0,20,0,20,0,20,64,45.7165178,48,43.93176527,53,43.38202393,79,51.92301994,55,44.20407221,97,58.65151319,180,79.24014134,163,74.89993324,140,78.48566748,44,36.90528417,0,20,14,28.7923601,0,20,0,20,0,20,15,30.41381265
Bedford Dwellings,7,51,37,0,10,5,8,9,13,20,22,1,5,0,10,0,10,0,10,0,10,0,10,0,10,3,6,0,10,0,10,0,10,13,21,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Beechview,8,2043,189.2617235,0,31.6227766,0,31.6227766,0,31.6227766,0,31.6227766,10,34,25,34.95711659,48,40.2492236,176,62.66578014,175,71.26710321,316,100.7869039,381,118.6760296,335,95.84883933,150,59.61543424,155,56.50663678,128,68.83313156,45,43.47413024,26,39.03844259,32,37.90778284,34,39.1535439,0,31.6227766,0,31.6227766,0,31.6227766,7,32.31098884,0,31.6227766
Beltzhoover,9,543,126.1982567,4,19.07878403,0,20,75,59.50630219,96,58.64298765,54,55.98214001,10,22.91287847,28,28.46049894,129,70.20683727,22,25.70992026,6,19.5192213,20,28,27,30.3644529,23,38.15756806,26,27.51363298,9,23.57965225,5,19.07878403,0,20,9,22.27105745,0,20,0,20,0,20,0,20,0,20,0,20
Bloomfield,10,1650,149.3385416,5,30.8058436,18,33.46640106,23,35,28,35.79106034,17,34.98571137,20,31.65438358,4,30.8058436,58,37.74917218,113,55.5967625,45,32.10918872,124,48.56953778,131,59.48108943,116,49.979996,225,64.05466416,103,53.26349594,175,70.68238819,112,54.38749856,125,52.50714237,61,38.61346915,101,47.95831523,25,37.80211634,21,38.07886553,0,31.6227766,0,31.6227766
Bluff,11,119,53.52569476,0,20,6,19.5192213,10,19.5192213,18,21.07130751,0,20,38,46.4865572,0,20,9,22.27105745,3,18.02775638,5,19.07878403,4,18.68154169,7,21.65640783,4,18.33030278,3,18.02775638,0,20,0,20,0,20,0,20,7,21.07130751,5,18.68154169,0,20,0,20,0,20,0,20
Bon Air,12,310,59,3,5,10,15,0,10,0,10,0,10,16,19,0,10,0,10,29,26,35,24,88,44,38,44,61,36,8,9,1,6,0,10,0,10,16,20,0,10,0,10,5,16,0,10,0,10,0,10
Brighton Heights,13,2219,173.8936457,9,28.72281323,0,26.45751311,0,26.45751311,0,26.45751311,34,35.29872519,22,33.60059523,62,39.28103868,80,54.18486874,44,38.96151948,133,54.59853478,234,81.30805618,238,69.49820142,275,87.56711712,387,97.6012295,332,95.53533378,237,92.73618495,80,48.948953,41,39.37003937,11,30.39736831,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311
Brookline,14,4376,323.9783943,54,47.9895822,39,47.09564736,5,38.26225294,23,38.91015292,12,39.61060464,43,53.71219601,45,50.24937811,160,74.25631286,252,89.74965181,400,139.8463443,789,168.0059523,662,163.9603611,638,188.3135683,646,143.6802004,227,84.59314393,128,67.60917098,86,68.50547423,69,55.30822724,49,55.42562584,11,41.52107898,0,38.72983346,8,41.09744518,22,52.62128847,8,39.29376541
California-Kirkbride,15,85,31,0,10,9,9,0,10,11,10,0,10,11,14,4,6,11,15,23,19,0,10,4,7,0,10,0,10,0,10,0,10,4,7,8,13,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Carrick,16,2660,223.8615644,9,35.28455753,36,40.23679908,42,62.42595614,44,43.61192497,50,46.09772229,53,42.29657197,116,51.97114584,318,84.36231386,347,95.62949336,375,107,395,111.7989267,255,74.09453421,223,94.44045743,217,81.55366331,24,37.34969879,71,72.53964433,15,37.68288736,40,59.20304046,8,37.36308338,15,42.72001873,0,36.05551275,7,36.66060556,0,36.05551275,0,36.05551275
Central Business District,17,402,103.3440855,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,11,28.08914381,0,24.49489743,0,24.49489743,26,38.22302971,11,27.49545417,0,24.49489743,35,34.75629439,11,29.3428015,40,47.58150901,0,24.49489743,65,53.52569476,52,41.42463035,11,25.15949125,37,39.42080669,83,70.88723439,10,28.08914381,10,26.92582404
Central Lawrenceville,18,1055,123.2112008,0,24.49489743,13,26.38181192,0,24.49489743,7,23.74868417,8,25.37715508,57,55.18151865,17,26.38181192,99,57.87918451,92,52.67826876,58,46.05431576,78,41.86884283,56,44,29,31.70173497,147,49.48737213,88,52.68775949,112,46.5832588,36,28.10693865,65,35.93048845,43,29.37686164,28,33.54101966,12,24.10394159,10,27.49545417,0,24.49489743,0,24.49489743
Central Northside,19,627,104.359954,10,15.09966887,0,17.32050808,4,16.24807681,11,20.61552813,0,17.32050808,0,17.32050808,0,17.32050808,39,49.08156477,14,26.15339366,16,23.15167381,48,41.96427052,10,17.91647287,6,16.76305461,36,23.06512519,60,43.9089968,56,35.56683849,56,37.48332963,90,37.22902094,79,42.05948169,71,35.05709629,21,18.97366596,0,17.32050808,0,17.32050808,0,17.32050808
Central Oakland,20,197,62.77738446,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,7,19.89974874,17,23.68543856,14,26.15339366,80,33.1662479,7,19.20937271,22,25.3179778,21,29.59729717,8,18.54723699,0,17.32050808,11,22.11334439,0,17.32050808,0,17.32050808,0,17.32050808,10,20.61552813
Chartiers City,21,166,57,0,10,9,13,0,10,0,10,0,10,2,4,4,8,15,18,14,18,53,53,0,10,24,23,11,18,29,31,5,8,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Chateau,22,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Crafton Heights,23,1014,115.4772705,9,21.65640783,6,19.5192213,32,36.3868108,12,21.07130751,23,26.55183609,24,24.97999199,33,30.9354166,4,18.68154169,108,45.33210783,120,56.22277119,183,71.03520254,152,50.25932749,77,38.83297568,109,40.13726448,51,28.3019434,40,29.49576241,13,26.45751311,18,21.07130751,0,20,0,20,0,20,0,20,0,20,0,20
Crawford-Roberts,24,290,80.60397013,10,18.86796226,10,18.86796226,0,14.14213562,0,14.14213562,0,14.14213562,9,17.20465053,0,14.14213562,0,14.14213562,0,14.14213562,44,44.14748011,8,16.40121947,47,34.98571137,57,55.6057551,42,34.4818793,0,14.14213562,0,14.14213562,63,40.31128874,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562
Duquesne Heights,25,812,100.0049999,6,14.86606875,10,18.02775638,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,9,17.20465053,43,31.144823,41,25,96,45.96737974,47,33.10589071,129,75.96051606,26,21.9317122,120,61.05735009,67,44.41846463,84,55.07267925,7,15.62049935,5,13.45362405,17,19.79898987,64,39.29376541,30,28.42534081,4,12.20655562,0,14.14213562,7,14.86606875
East Allegheny,26,447,90.55385138,8,15.62049935,23,19.79898987,27,25,27,25.07987241,0,14.14213562,18,19.84943324,41,43.17406629,32,41.23105626,45,44.64302857,0,14.14213562,0,14.14213562,0,14.14213562,18,21.9544984,14,19.72308292,26,22.8035085,62,42.43819035,30,24.08318916,7,14.86606875,42,32.80243893,20,23.2594067,0,14.14213562,0,14.14213562,0,14.14213562,7,14.14213562
East Carnegie,27,128,41,0,10,0,10,0,10,0,10,8,10,0,10,0,10,5,8,30,20,22,22,20,12,15,15,5,7,6,9,0,10,12,13,0,10,0,10,0,10,5,10,0,10,0,10,0,10,0,10
East Hills,28,544,118.2032148,0,17.32050808,28,33.82306905,30,37.41657387,16,20.92844954,70,52.77309921,28,28.72281323,15,20.32240143,89,48.31148932,32,26.90724809,47,48.88762625,60,42.05948169,52,55.39855594,25,27,16,20.42057786,20,23.49468025,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,8,18.54723699,0,17.32050808,8,17.91647287,0,17.32050808,0,17.32050808
East Liberty,29,415,100.9554357,0,28.28427125,0,28.28427125,0,28.28427125,8,27.36786437,0,28.28427125,49,56.57738064,18,34.40930107,42,36.68787266,39,47.32863826,35,35.87478223,50,42.97673789,21,33.89690251,9,29.93325909,49,35.86084215,0,28.28427125,10,27.29468813,20,31.25699922,30,35.9722115,15,30.62678566,10,30.41381265,0,28.28427125,0,28.28427125,0,28.28427125,10,31.44837039
Elliott,30,558,101.5283212,0,17.32050808,0,17.32050808,64,59.71599451,6,16.76305461,55,50.05996404,72,39.49683532,44,29.63106478,88,39.35733731,77,44.74371464,51,36.3868108,46,32.01562119,29,24.41311123,0,17.32050808,6,17.32050808,7,17.91647287,6,16.76305461,0,17.32050808,0,17.32050808,7,14.07124728,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808
Esplen,31,113,51,0,10,0,10,0,10,18,22,27,26,3,6,4,6,39,42,22,25,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Fairywood,32,86,44,7,13,0,10,11,13,0,10,0,10,12,14,0,10,0,10,46,38,0,10,10,16,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Fineview,33,237,67.20119047,3,11.18033989,0,14.14213562,0,14.14213562,8,14.86606875,13,19.72308292,23,18.38477631,14,18.86796226,24,29.52964612,9,11.70469991,9,17.20465053,22,32.57299495,14,15,9,9.899494937,37,30.6757233,9,14.14213562,33,29.12043956,0,14.14213562,5,12.80624847,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,5,12.20655562
Friendship,34,108,61.05735009,0,14.14213562,0,14.14213562,12,21.47091055,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,40,38.58756276,32,36.61966685,11,20.59126028,13,25.07987241,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562
Garfield,35,624,106.9252075,33,24.10394159,6,19.10497317,18,28.28427125,23,28.86173938,11,21.09502311,36,31.19294792,13,21.9317122,62,32.89376841,62,36.0970913,83,49.02040392,87,58.07753438,48,38.45776905,18,28.37252192,21,24.69817807,24,25.76819745,40,29.63106478,0,22.36067978,7,22.82542442,13,22.82542442,5,19,14,26.2488095,0,22.36067978,0,22.36067978,0,22.36067978
Glen Hazel,36,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
