Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $49,999","Margin of Error; Total: - $40,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $69,999","Margin of Error; Total: - $60,000 to $69,999","Estimate; Total: - $70,000 to $79,999","Margin of Error; Total: - $70,000 to $79,999","Estimate; Total: - $80,000 to $89,999","Margin of Error; Total: - $80,000 to $89,999","Estimate; Total: - $90,000 to $99,999","Margin of Error; Total: - $90,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $174,999","Margin of Error; Total: - $150,000 to $174,999","Estimate; Total: - $175,000 to $199,999","Margin of Error; Total: - $175,000 to $199,999","Estimate; Total: - $200,000 to $249,999","Margin of Error; Total: - $200,000 to $249,999","Estimate; Total: - $250,000 to $299,999","Margin of Error; Total: - $250,000 to $299,999","Estimate; Total: - $300,000 to $399,999","Margin of Error; Total: - $300,000 to $399,999","Estimate; Total: - $400,000 to $499,999","Margin of Error; Total: - $400,000 to $499,999","Estimate; Total: - $500,000 to $749,999","Margin of Error; Total: - $500,000 to $749,999","Estimate; Total: - $750,000 to $999,999","Margin of Error; Total: - $750,000 to $999,999","Estimate; Total: - $1,000,000 to $1,499,999","Margin of Error; Total: - $1,000,000 to $1,499,999","Estimate; Total: - $1,500,000 to $1,999,999","Margin of Error; Total: - $1,500,000 to $1,999,999","Estimate; Total: - $2,000,000 or more","Margin of Error; Total: - $2,000,000 or more"
Allegheny Center,1,72,28,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,11,10,20,18,0,10,29,25,12,16,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Allegheny West,2,69,31,4,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,4,6,10,16,0,10,0,10,4,8,15,16,21,18,0,10,0,10,0,10,11,17,0,10,0,10
Allentown,3,538,112.7696768,45,33.73425559,19,21.11871208,22,26.15339366,44,30.7408523,100,69.76388751,49,29.13760457,24,25.37715508,97,60.3158354,58,39.10242959,41,30.29851482,20,34.98571137,0,17.32050808,0,17.32050808,0,17.32050808,13,24.49489743,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,6,16.76305461,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808
Arlington,4,492,84.43340571,12,16.18641406,29,27.51363298,5,16.24807681,43,30.21588986,27,30.47950131,45,25.3968502,49,30.7408523,87,35.18522417,103,52.23025943,21,17.8325545,37,26.34387974,7,17.32050808,9,17.91647287,0,17.32050808,6,16.24807681,0,17.32050808,0,17.32050808,2,15,0,17.32050808,0,17.32050808,0,17.32050808,7,17.91647287,0,17.32050808,3,15.77973384,0,17.32050808,0,17.32050808
Arlington Heights,5,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Banksville,6,985,139.7283078,26,35.51056181,0,20,0,20,0,20,0,20,0,20,0,20,0,20,93,68.70953355,47,45.70557953,32,36.67424164,88,61.07372594,57,41.30375286,65,43.65775991,155,75.44534446,149,76.42643522,173,89.51536181,41,37.70941527,14,28,18,28.7923601,10,24.97999199,0,20,0,20,17,31.2409987,0,20,0,20
Bedford Dwellings,7,48,31,4,6,5,7,8,11,13,15,3,6,0,10,0,10,0,10,0,10,0,10,0,10,5,7,0,10,0,10,0,10,10,19,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Beechview,8,2065,199.6822476,0,31.6227766,0,31.6227766,0,31.6227766,0,31.6227766,9,33.10589071,39,43.8634244,45,38.97435054,125,53.53503526,162,66.51315659,311,102.1518478,445,117.119597,311,96.61262857,171,74.08778577,191,67.14908786,135,69.82120022,35,37.22902094,14,36.61966685,31,38.69108424,27,37.90778284,0,31.6227766,7,33.10589071,0,31.6227766,7,31.95309062,0,31.6227766,0,31.6227766,0,31.6227766
Beltzhoover,9,556,129.988461,4,18.33030278,19,25.49509757,45,42.26109322,84,54.71745608,54,57.48912941,17,27.22131518,28,27.01851217,133,77.05193054,29,28.7923601,31,31.60696126,13,21.07130751,24,26.83281573,27,42.67317659,19,22.64950331,9,22.91287847,7,20,0,20,13,26.45751311,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20
Bloomfield,10,1688,134.0149245,5,30.8058436,23,35.79106034,5,31.04834939,15,31.38470965,0,31.6227766,17,30.34798181,4,30.8058436,58,37.01351105,75,39.57271787,56,32.60368077,121,43.8520239,168,64.69157596,97,43.26661531,236,58.22370651,139,53.62835071,163,59.49789912,121,49.06118629,152,56.5862174,72,41.70131892,87,43.94314509,41,41.03656906,26,36.20773398,3,30.41381265,4,31.04834939,0,31.6227766,0,31.6227766
Bluff,11,79,32.92415527,0,20,5,18.68154169,13,21.07130751,10,17.80449381,0,20,7,17.77638883,0,20,9,21.65640783,3,17.77638883,3,18.33030278,4,18.33030278,4,18.68154169,7,18.68154169,5,19.5192213,0,20,0,20,0,20,0,20,0,20,3,18.33030278,0,20,6,19.5192213,0,20,0,20,0,20,0,20
Bon Air,12,305,62,2,4,7,11,0,10,0,10,0,10,6,10,0,10,0,10,17,16,32,25,75,39,60,48,52,31,10,13,4,10,14,21,0,10,20,23,0,10,0,10,6,17,0,10,0,10,0,10,0,10,0,10
Brighton Heights,13,2206,159.1257364,14,33.60059523,6,25.76819745,0,26.45751311,14,27.5680975,24,31.95309062,22,34.2928564,55,37.16180835,79,53.98147831,47,33.67491648,108,47.80167361,263,89.59910714,222,69.76388751,240,77.84600182,399,92.98386957,330,94.19660291,219,84.67585252,117,55.05451843,29,36.30426972,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,18,29.47880595,0,26.45751311,0,26.45751311,0,26.45751311
Brookline,14,4245,300.1416332,47,50.25932749,47,49.689033,6,38.48376281,39,46.88283268,10,39,15,44.45222154,49,54.19409562,71,56.97367813,206,80.11242101,428,133.4803356,670,153.3068818,672,154.1395472,619,168.4844206,675,155.0419298,306,99.78476838,160,66.78323143,74,57.67148342,45,48.02082881,23,45.35416188,42,53.27288241,0,38.72983346,10,41.52107898,23,53.3291665,0,38.72983346,0,38.72983346,8,39.29376541
California-Kirkbride,15,114,29,0,10,7,8,0,10,8,9,0,10,11,12,6,9,0,10,31,20,0,10,3,6,0,10,0,10,30,26,0,10,5,7,6,11,7,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
