Neighborhood,Sector #,Population (2010),Miles of Major Roads,Total Street Miles,Street Density (st. mi/area sq. mi),# Sets of Steps,# Step Treads,Res. Permit Parking Area(s),Total Working Pop. (Age 16+) (2010),Commute to Work: Drive Alone (2010),Commute to Work: Carpool/Vanpool (2010),Commute to Work: Public Transportation (2010),Commute to Work: Taxi (2010),Commute to Work: Motorcycle (2010),Commute to Work: Bicycle (2010),Commute to Work: Walk (2010),Commute to Work: Other (2010),Work at Home (2010)
Allegheny Center,3,933,2.23,4.14,19.7,0,0,None,386,27.70%,9.80%,16.80%,0.00%,0.00%,0.00%,43.80%,0.00%,1.80%
Allegheny West,3,462,1.47,4.87,34.5,0,0,G,151,23.20%,20.50%,15.90%,14.60%,0.00%,0.00%,25.80%,0.00%,0.00%
Allentown,6,2500,1.65,12.33,41.8,12,474,None,824,47.00%,10.90%,38.00%,0.00%,0.80%,0.00%,0.00%,1.50%,1.80%
Arlington,7,1869,0.86,10.73,22.8,13,428,None,673,74.00%,7.30%,13.50%,0.00%,0.00%,0.00%,1.90%,0.90%,2.40%
Arlington Heights,7,244,0,1.09,8.2,0,0,None,72,11.10%,0.00%,88.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Banksville,5,4144,5.99,18.33,18.9,4,322,None,"2,506",81.50%,5.90%,11.70%,0.00%,0.00%,0.00%,0.70%,0.20%,0.00%
Bedford Dwellings,15,1202,0.97,4.48,25.1,3,234,None,305,36.70%,16.70%,33.80%,0.00%,0.00%,0.00%,12.80%,0.00%,0.00%
Beechview,5,7974,6.42,30.75,21.1,39,"2,494","BB, T","3,909",55.10%,15.30%,21.20%,0.00%,0.00%,0.60%,5.30%,0.00%,2.60%
Beltzhoover,6,1925,3.32,17.26,41,16,595,None,706,45.80%,8.10%,43.10%,0.00%,0.00%,0.00%,0.00%,0.00%,3.10%
Bloomfield,12,8442,3.8,31.74,45.2,3,131,"H, R","5,117",42.00%,9.30%,20.00%,0.00%,0.80%,6.40%,18.80%,0.00%,2.60%
Bluff,15,6600,9.08,16.48,50.4,2,188,P,"1,379",25.50%,4.00%,23.10%,0.00%,0.00%,0.00%,43.10%,0.00%,4.40%
Bon Air,6,808,1.67,9.17,29.3,1,57,None,438,60.30%,20.80%,13.50%,0.00%,0.00%,0.00%,3.70%,0.00%,1.80%
Brighton Heights,2,7247,4.19,29.52,26.4,10,477,None,"3,968",63.10%,11.50%,17.90%,0.00%,0.50%,0.00%,3.20%,1.10%,2.70%
Brookline,5,13214,9.15,56.88,27.3,25,"1,797",None,"7,067",73.10%,9.70%,12.00%,0.40%,0.80%,0.20%,2.80%,0.60%,0.50%
California-Kirkbride,3,761,1.58,6.38,29.4,9,748,None,227,45.40%,0.00%,41.00%,0.00%,0.00%,0.00%,13.70%,0.00%,0.00%
Carrick,5,10113,6.56,45.98,27.5,20,"1,193",None,"4,783",62.10%,10.30%,19.60%,0.00%,0.30%,0.00%,4.70%,0.00%,3.10%
Central Business District,16,3629,13.55,30.84,48.2,0,0,None,"1,566",24.80%,5.40%,21.10%,0.00%,0.00%,0.00%,42.00%,0.00%,6.80%
Central Lawrenceville,13,4482,2.53,18.26,19,1,9,A,"2,111",51.80%,20.20%,17.40%,0.00%,0.00%,1.50%,7.70%,0.00%,1.40%
Central Northside,3,2923,1.81,12.18,47,4,395,L,"1,514",47.90%,8.10%,19.70%,0.00%,0.00%,2.00%,18.10%,0.00%,4.20%
